Year;Sector;Pollutant;RepShare;CalcShare
2018;GROUP_Products;30;1.00000;0.00000
2018;GROUP_Products;37;0.00000;1.00000
2018;GROUP_Products;38;0.00000;1.00000
2018;GROUP_Products;40;0.00000;1.00000
2018;GROUP_Products;43;0.00000;1.00000
2018;GROUP_Transport;1;0.00000;1.00000
2018;GROUP_Transport;3;0.00000;1.00000
2018;GROUP_Transport;4;0.90572;0.09428
2018;GROUP_Transport;5;0.00000;1.00000
2018;GROUP_Transport;6;0.05080;0.94920
2018;GROUP_Transport;7;0.00000;1.00000
2018;GROUP_Transport;8;0.00000;1.00000
2018;GROUP_Transport;10;;
2018;GROUP_Transport;11;;
2018;GROUP_Transport;12;0.00000;1.00000
2018;GROUP_Transport;13;0.00000;1.00000
2018;GROUP_Transport;14;0.00000;1.00000
2018;GROUP_Transport;15;0.00000;1.00000
2018;GROUP_Transport;16;0.00014;0.99986
2018;GROUP_Transport;17;0.00000;1.00000
2018;GROUP_Transport;18;0.00000;1.00000
2018;GROUP_Transport;19;0.00000;1.00000
2018;GROUP_Transport;22;0.00000;1.00000
2018;GROUP_Transport;25;0.00000;1.00000
2018;GROUP_Transport;26;0.00000;1.00000
2018;GROUP_Transport;27;0.00000;1.00000
2018;GROUP_Transport;28;0.00000;1.00000
2018;GROUP_Transport;29;0.00000;1.00000
2018;GROUP_Transport;30;;
2018;GROUP_Transport;31;;
2018;GROUP_Transport;37;0.00000;1.00000
2018;GROUP_Transport;38;0.00000;1.00000
2018;GROUP_Transport;40;0.00000;1.00000
2018;GROUP_Transport;43;0.00000;1.00000
2015;GROUP_Agriculture;1;0.00000;1.00000
2015;GROUP_Agriculture;3;0.00000;1.00000
2015;GROUP_Agriculture;5;0.00000;1.00000
2015;GROUP_Agriculture;7;0.00000;1.00000
2015;GROUP_Agriculture;8;0.00000;1.00000
2015;GROUP_Agriculture;12;0.00000;1.00000
2015;GROUP_Agriculture;13;0.00000;1.00000
2015;GROUP_Agriculture;14;0.00000;1.00000
2015;GROUP_Agriculture;15;0.00000;1.00000
2015;GROUP_Agriculture;16;0.00000;1.00000
2015;GROUP_Agriculture;17;0.00000;1.00000
2015;GROUP_Agriculture;18;0.00000;1.00000
2015;GROUP_Agriculture;19;0.00000;1.00000
2015;GROUP_Agriculture;22;0.00000;1.00000
2015;GROUP_Agriculture;25;0.00000;1.00000
2015;GROUP_Agriculture;27;0.00000;1.00000
2015;GROUP_Agriculture;28;0.00000;1.00000
2015;GROUP_Agriculture;29;0.00000;1.00000
2015;GROUP_Agriculture;37;0.00000;1.00000
2015;GROUP_Agriculture;38;0.00000;1.00000
2015;GROUP_Agriculture;43;0.00000;1.00000
2015;GROUP_OtherComb;1;0.00000;1.00000
2015;GROUP_OtherComb;3;0.00000;1.00000
2015;GROUP_OtherComb;4;0.00000;1.00000
2015;GROUP_OtherComb;5;0.00001;0.99999
2015;GROUP_OtherComb;6;0.00137;0.99863
2015;GROUP_OtherComb;7;0.00000;1.00000
2015;GROUP_OtherComb;8;0.00000;1.00000
2015;GROUP_OtherComb;10;0.00000;1.00000
2015;GROUP_OtherComb;11;0.00000;1.00000
2015;GROUP_OtherComb;12;0.00000;1.00000
2015;GROUP_OtherComb;13;0.00000;1.00000
2015;GROUP_OtherComb;14;0.00232;0.99768
2015;GROUP_OtherComb;15;0.00000;1.00000
2015;GROUP_OtherComb;16;0.00567;0.99433
2015;GROUP_OtherComb;17;0.00000;1.00000
2015;GROUP_OtherComb;18;0.00038;0.99962
2015;GROUP_OtherComb;19;0.00000;1.00000
2015;GROUP_OtherComb;22;0.00354;0.99646
2015;GROUP_OtherComb;25;0.00000;1.00000
2015;GROUP_OtherComb;26;0.00000;1.00000
2015;GROUP_OtherComb;27;0.00057;0.99943
2015;GROUP_OtherComb;28;0.00000;1.00000
2015;GROUP_OtherComb;29;0.00000;1.00000
2015;GROUP_OtherComb;30;0.00000;1.00000
2015;GROUP_OtherComb;31;0.00474;0.99526
2015;GROUP_OtherComb;37;0.00000;1.00000
2015;GROUP_OtherComb;38;0.00000;1.00000
2015;GROUP_OtherComb;39;0.00000;1.00000
2015;GROUP_OtherComb;40;0.00000;1.00000
2015;GROUP_OtherComb;43;0.00000;1.00000
2015;GROUP_OtherComb;44;0.00000;1.00000
2015;GROUP_PowerIndustry;1;0.25072;0.74928
2015;GROUP_PowerIndustry;3;0.17833;0.82167
2015;GROUP_PowerIndustry;4;0.31551;0.68449
2015;GROUP_PowerIndustry;5;0.19707;0.80293
2015;GROUP_PowerIndustry;6;0.95822;0.04178
2015;GROUP_PowerIndustry;7;0.38666;0.61334
2015;GROUP_PowerIndustry;8;0.30348;0.69652
2015;GROUP_PowerIndustry;10;0.17112;0.82888
2015;GROUP_PowerIndustry;11;0.15516;0.84484
2015;GROUP_PowerIndustry;12;0.67330;0.32670
2015;GROUP_PowerIndustry;13;0.99308;0.00692
2015;GROUP_PowerIndustry;14;0.56633;0.43367
2015;GROUP_PowerIndustry;15;0.46100;0.53900
2015;GROUP_PowerIndustry;16;0.95261;0.04739
2015;GROUP_PowerIndustry;17;0.21221;0.78779
2015;GROUP_PowerIndustry;18;0.11644;0.88356
2015;GROUP_PowerIndustry;19;0.20259;0.79741
2015;GROUP_PowerIndustry;22;0.95109;0.04891
2015;GROUP_PowerIndustry;25;0.25166;0.74834
2015;GROUP_PowerIndustry;26;0.53542;0.46458
2015;GROUP_PowerIndustry;27;0.67781;0.32219
2015;GROUP_PowerIndustry;28;0.00000;1.00000
2015;GROUP_PowerIndustry;29;0.00000;1.00000
2015;GROUP_PowerIndustry;30;0.81440;0.18560
2015;GROUP_PowerIndustry;31;0.34750;0.65250
2015;GROUP_PowerIndustry;34;1.00000;0.00000
2015;GROUP_PowerIndustry;35;1.00000;0.00000
2015;GROUP_PowerIndustry;36;1.00000;0.00000
2015;GROUP_PowerIndustry;37;0.98373;0.01627
2015;GROUP_PowerIndustry;38;0.56552;0.43448
2015;GROUP_PowerIndustry;40;0.21250;0.78750
2015;GROUP_PowerIndustry;41;1.00000;0.00000
2015;GROUP_PowerIndustry;43;0.00000;1.00000
2015;GROUP_Products;1;0.00000;1.00000
2015;GROUP_Products;3;0.00000;1.00000
2015;GROUP_Products;4;1.00000;0.00000
2015;GROUP_Products;5;0.00000;1.00000
2015;GROUP_Products;7;0.00000;1.00000
2015;GROUP_Products;8;0.00000;1.00000
2015;GROUP_Products;12;0.00000;1.00000
2015;GROUP_Products;13;0.22567;0.77433
2015;GROUP_Products;14;0.00000;1.00000
2015;GROUP_Products;15;0.18713;0.81287
2015;GROUP_Products;16;0.00000;1.00000
2015;GROUP_Products;17;0.00000;1.00000
2015;GROUP_Products;18;0.00000;1.00000
2015;GROUP_Products;19;0.00000;1.00000
2015;GROUP_Products;22;0.68835;0.31165
2015;GROUP_Products;25;0.00000;1.00000
2015;GROUP_Products;26;1.00000;0.00000
2015;GROUP_Products;27;0.30032;0.69968
2015;GROUP_Products;28;0.00000;1.00000
2015;GROUP_Products;29;0.00000;1.00000
2015;GROUP_Products;37;0.00000;1.00000
2015;GROUP_Products;38;0.00000;1.00000
2015;GROUP_Products;40;0.00000;1.00000
2015;GROUP_Products;43;0.00000;1.00000
2015;GROUP_Transport;1;0.00000;1.00000
2015;GROUP_Transport;3;0.00000;1.00000
2015;GROUP_Transport;4;0.96533;0.03467
2015;GROUP_Transport;5;0.00000;1.00000
2015;GROUP_Transport;6;0.03288;0.96712
2015;GROUP_Transport;7;0.00000;1.00000
2015;GROUP_Transport;8;0.00000;1.00000
2015;GROUP_Transport;10;;
2015;GROUP_Transport;11;;
2015;GROUP_Transport;12;0.00000;1.00000
2015;GROUP_Transport;13;0.00000;1.00000
2015;GROUP_Transport;14;0.00000;1.00000
2015;GROUP_Transport;15;0.00000;1.00000
2015;GROUP_Transport;16;0.00007;0.99993
2015;GROUP_Transport;17;0.00000;1.00000
2015;GROUP_Transport;18;0.00000;1.00000
2015;GROUP_Transport;19;0.00000;1.00000
2015;GROUP_Transport;22;0.00000;1.00000
